"","ID","lat","long","mse"
"6449","FORKS 1 E                                                                                                                                                                                                                                                      ",47.9558,-124.354,4.31001091853069
"6450","BLACK KNOB WASHINGTON                                                                                                                                                                                                                                          ",47.4136,-124.103,3.74635774680134
"6451","QUILLAYUTE AP                                                                                                                                                                                                                                                  ",47.9369,-124.558,3.36604356264474
"6452","CLATSKANIE                                                                                                                                                                                                                                                     ",46.1081,-123.206,3.3188366886882
"6453","BREMERTON                                                                                                                                                                                                                                                      ",47.5689,-122.683,2.24551273454791
"6454","COUGAR 6 E                                                                                                                                                                                                                                                     ",46.0625,-122.204,5.02560832744527
"6455","CUSHMAN POWERHOUSE #2                                                                                                                                                                                                                                          ",47.3706,-123.16,1.96931757509108
"6456","ELMA                                                                                                                                                                                                                                                           ",47.0092,-123.401,3.32776828571012
"6457","EVERETT                                                                                                                                                                                                                                                        ",47.9753,-122.195,3.49120201990825
"6458","HUMPTULIPS SALMON HATCHERY                                                                                                                                                                                                                                     ",47.2336,-123.99,4.58123670183429
"6459","LONGVIEW                                                                                                                                                                                                                                                       ",46.1372,-122.978,2.70686753958727
"6460","MATLOCK 8 S                                                                                                                                                                                                                                                    ",47.1456,-123.401,2.49098392177789
"6461","MAYFIELD PWR PLT                                                                                                                                                                                                                                               ",46.5044,-122.594,4.37088317586645
"6462","MCMILLIN RSVR                                                                                                                                                                                                                                                  ",47.1356,-122.256,4.20064302258744
"6463","RAYMOND 2 S                                                                                                                                                                                                                                                    ",46.6533,-123.73,7.20444620878978
"6464","TACOMA #1                                                                                                                                                                                                                                                      ",47.2472,-122.412,2.76205363661885
"6465","MILLER OREGON                                                                                                                                                                                                                                                  ",46.0228,-123.271,1.90284975733743
"6466","ABERNATHY MOUNTAIN WASHINGTON                                                                                                                                                                                                                                  ",46.35,-123.1,3.2571051183901
"6467","CASTLE ROCK WASHINGTON                                                                                                                                                                                                                                         ",46.3075,-122.905,2.96601747496585
"6468","COUGAR MOUNTAIN WASHINGTON                                                                                                                                                                                                                                     ",47.9167,-123.117,2.44190694441764
"6469","ELK ROCK WASHINGTON                                                                                                                                                                                                                                            ",46.3522,-122.606,3.59816400126559
"6470","June Lake                                                                                                                                                                                                                                                      ",46.15,-122.15,0.916837577684173
"6471","Sheep Canyon                                                                                                                                                                                                                                                   ",46.19,-122.25,0.94523640515997
"6472","Spirit Lake                                                                                                                                                                                                                                                    ",46.26,-122.18,2.13596800347046
"6473","Swift Creek                                                                                                                                                                                                                                                    ",46.16,-122.18,1.1510260003509
"6474","Mount Crag                                                                                                                                                                                                                                                     ",47.76,-123.03,1.02368686253939
"6475","Dungeness                                                                                                                                                                                                                                                      ",47.87,-123.08,0.95369024362786
"6476","Waterhole                                                                                                                                                                                                                                                      ",47.94,-123.43,4.43887214224245
"6477","Buckinghorse                                                                                                                                                                                                                                                   ",47.71,-123.46,2.37552243511589
