station_id,station_name,stn_lat,stn_lon,stnz
MXM00076458,COLONIA JUAN CARRAS,23.2,-106.417,4.0
MXM00076471,SOMBRERETE  ZAC.,23.633,-103.65,2351.0
MXM00076491,CIUDAD VICTORIA,23.733,-99.133,355.0
MXM00076548,TAMPICO  TAMPS,22.2,-97.85,25.0
MXM00076405,LA PAZ (CITY),24.167,-110.3,18.0
MXM00076382,TORREON INTL,25.568,-103.411,1124.1
USC00419649,WFO BROWNSVILLE,25.9161,-97.4194,4.6
USW00012919,BROWNSVILLE,25.9161,-97.4189,26.8
USC00082418,DRY TORTUGAS,24.6278,-82.8736,0.9
USC00080414,BAHIA HONDA SP,24.6594,-81.2744,1.8
USC00081306,CAPE FLORIDA,25.6719,-80.1567,1.8
USC00082046,CURRY HAMMOCK SP,24.7425,-80.9819,1.2
USC00083909,HIALEAH,25.8175,-80.2858,3.7
USC00084095,HOMESTEAD GEN AVIATION AP,25.5011,-80.55,2.7
USC00084412,JOHN PENNEKAMP SP,25.1936,-80.3492,1.8
USC00084571,KEY W WFO,24.5533,-81.7881,1.2
USC00085359,MARCO IS,25.9492,-81.7139,3.0
USC00085667,MIAMI NWSFO,25.7553,-80.3836,4.3
USC00086315,N MIAMI BEACH #2,25.95,-80.2158,3.0
USC00087020,PERRINE 4W,25.5819,-80.4361,3.0
USC00087760,ROYAL PALM RS,25.3867,-80.5936,2.1
USR0000FCAC,CACHE FLORIDA,25.3903,-80.6803,1.5
USR0000FCHE,CHEKIKA FLORIDA,25.625,-80.5797,1.5
USR0000FOAS,OASIS FLORIDA,25.85,-81.03,2.4
USR0000FOCH,OCHOPEE FLORIDA,25.9167,-81.2833,2.1
USR0000FRAC,RACCOON POINT FLORIDA,25.9708,-80.9,2.1
USW00012836,KEY W INTL AP,24.5569,-81.7553,0.3
USW00012839,MIAMI INTL AP,25.7881,-80.3169,1.5
USW00012850,KEY WEST NAS,24.5833,-81.6833,1.8
USW00012882,MIAMI OPA LOCKA AP,25.9103,-80.2828,1.2
USW00012888,MIAMI KENDALL TAMIAMI EXEC AP,25.6422,-80.4347,1.8
USW00012896,MARATHON AP,24.7261,-81.0478,0.9
USW00092809,HOLLYWOOD N PERRY AP,25.9994,-80.2411,1.8
USW00092826,EVERGLADES CITY 5 NE,25.8997,-81.3183,1.2
MXM00076256,EMPALME  SON.,27.95,-110.767,12.0
MXM00076305,LORETO,26.017,-111.333,7.0
USC00412758,EDINBURG,26.2981,-98.1575,29.3
USC00413060,FALCON DAM,26.5581,-99.1372,97.5
USC00413341,FREER,27.8722,-98.6175,171.3
USC00415060,LAREDO 2,27.5683,-99.4983,131.1
USC00415701,MCALLEN,26.1922,-98.2503,33.5
USC00415721,MCCOOK,26.565,-98.1236,67.1
USC00417622,RIO GRANDE CITY,26.3769,-98.8117,52.4
USC00417981,SAN MANUEL,26.565,-98.1203,22.9
USR0000TFAL,FALCON LAKE TEXAS,26.5547,-99.1356,66.8
USR0000TLIN,LINN-SAN MANUEL TEXAS,26.535,-98.0858,4.6
USR0000TLRG,SANTA ANA NWR TEXAS,26.0839,-98.1369,27.4
USW00012907,LAREDO INTL AP,27.5333,-99.4667,150.6
USW00012932,ALICE INTL AP,27.7414,-98.025,51.8
USW00012959,MCALLEN MILLER INTL AP,26.1792,-98.2444,30.2
USW00012987,EDINBURG 17 NNE,26.5258,-98.0633,19.5
USC00410345,ARMSTRONG 4SE,26.8339,-97.7078,7.6
USC00412011,CORPUS CHRISTI NWS,27.7792,-97.5056,13.4
USC00412013,C C BOTANICAL GARDENS,27.6606,-97.3983,4.9
USC00413943,HARLINGEN,26.2028,-97.6728,11.6
USC00414810,KINGSVILLE,27.5311,-97.8497,17.4
USC00417170,PORT ARANSAS,27.8139,-97.075,2.4
USC00417176,PORT ARANSAS 11 SSW,27.6997,-97.1581,1.8
USC00417179,PORT ISABEL,26.095,-97.3069,3.7
USC00417184,PORT MANSFIELD,26.5578,-97.4264,2.7
USC00417458,RAYMONDVILLE,26.4644,-97.7847,9.4
USC00418059,SANTA ROSA 3 WNW,26.2656,-97.8714,15.2
